surface_number,diameter,opening,spacing
E001,560,20,580
E002,500,20,520
E003,440,20,460
E004,320,20,340
E005,380,20,400
E006,260,20,280
E007,200,20,220
E008,140,20,160
E009,560,80,640
E010,500,80,580
E012,380,80,460
E013,80,20,100
E014,320,80,400
E015,560,140,700
E016,500,140,640
E017,170,50,220
E018,260,80,340
E019,440,140,580
E020,140,50,190
E021,560,200,760
E022,380,140,520
E023,200,80,280
E024,500,200,700
E025,320,140,460
E026,440,200,640
E027,170,80,250
E028,500,260,760
E029,380,200,580
E030,260,140,400
E031,140,80,220
E032,440,260,700
E033,80,50,130
E034,320,200,520
E035,170,110,280
E036,380,260,640
E037,200,140,340
E038,110,80,190
E039,440,320,760
E040,260,200,460